Rank,Pool,Send status,Sequence segment,Wave,T1 send date,Cadence,Business,City,ST,Email,Phone,Website,Rating,Reviews,Employees,Segment,Coverage gap,Lead with,Warnings,T1 subject,T1 body,T1 words,T1 source,T2 subject,T2 body,T3 subject,T3 body,T4 subject,T4 body,T5 subject,T5 body
1,1 Qualified,SEND,wrong-fit,1,"2026-09-08 (Tue, 9–11am local)",single touch,All Is Well Holistic Spa,Katy,TX,sales@alliswellspa.com,(832) 913-8186,https://alliswellspa.com/?y_source=1_MjAxODczNTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.7,1938,4,Micro / owner-operated,closed Tuesday,Receptionist + no-show prevention,"holistic spa, not med spa",partial fit,"Straight version: most of what I build is for medical aesthetics — injectables, lasers, regulated patient data. You're a holistic massage and skincare spa, so half of it would be overkill you'd be paying for. Two parts do fit. Membership means churn is your real metric, and dormant clients can be flagged at 45 days and won back over two touches. And your ratings split by platform, with the critical ones unanswered. I'd rather sell you the two things that fit than five that don't. Worth a look?",88,p2_emails.md,,"— single touch only, no follow-up (honest non-pitch)",,"— single touch only, no follow-up (honest non-pitch)",,"— single touch only, no follow-up (honest non-pitch)",,"— single touch only, no follow-up (honest non-pitch)"
2,1 Qualified,SEND,multi-site,1,"2026-09-08 (Tue, 9–11am local)",T1 day 0 · T2 day 3 · T3 day 7 · T4 day 14 · T5 day 21,Elase Medical Spa,Salt Lake City,UT,sugarhouse@elase.com,(801) 253-6474,https://elase.com/locations/sugar-house/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=SugarHouse,4.9,1556,230,Enterprise / chain,closed Sunday,Receptionist — multi-location routing,"38 locations, 7 states - national platform",location routing,"Thirty-eight locations across seven states means every inbound call is a routing decision before it's a booking — and Sugar House still shows Sunday dark, plus that fifth-Saturday rule most callers won't know about. At 1,556 reviews on this location alone, acquisition clearly isn't the problem. Laser revenue leaks at package abandonment — session three of six, and nobody follows up. At your scale I wouldn't propose anything network-wide. One location, measured against its own prior eight weeks. The agent knows that site's real hours, fifth Saturday included. Worth exploring?",90,p1_emails.md,what a pilot measures,"To be concrete about the pilot: one location, after-hours only, measured against that same site's prior eight weeks. Recovered bookings against cost. If it doesn't clear, that's a clean no and nobody has to argue about it. Nothing touches the other sites.",how it books,"Per-location hours, per-location pricing, and every booking lands as pending rather than confirmed so each site's front desk keeps its own calendar. Clinical questions route to a provider callback on a tracked two-hour clock. Patient data is de-identified before it reaches a model and the orchestration layer only ever sees UUIDs — which is the part your compliance people will ask about first.",the rollout question,"The honest version: most of these fail at rollout, not at pilot. What makes the difference is whether each site's hours and pricing live in one place someone actually maintains. Worth knowing whether that exists at your network before anyone signs anything.",closing the loop,"Last note from me, and I'd rather send one than seven. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, and I'll stop writing to your locations entirely. Silence I'll read as a 3."
3,1 Qualified,SEND,coverage,1,"2026-09-08 (Tue, 9–11am local)",T1 day 0 · T2 day 3 · T3 day 7 · T4 day 14 · T5 day 21,Refresh - Aesthetics & Wellness,Jupiter,FL,support@refreshmedical.com,(561) 250-6169,https://refreshmedical.com/locations/jupiter/,4.8,1323,16,Core (best fit),closed Sat + Sun,Receptionist / voice agent,Apollo bio claims 10 offices across FL,weekend coverage,"Closed Saturday and Sunday, across Jupiter, Port St. Lucie and Vero Beach. GLP-1 inquiries don't keep those hours. You're LegitScript certified, so you'd actually read the architecture on this. Most AI booking tools drop patient names and numbers into a workflow tool's execution logs. Mine de-identifies before anything reaches a model — in production it refuses to send a prompt still carrying an identifier — and the orchestration layer only ever sees UUIDs. It screens weekend inquiries, contraindication gates included, and books them. Worth exploring?",85,p1_emails.md,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
4,1 Qualified,SEND,coverage,1,"2026-09-08 (Tue, 9–11am local)",T1 day 0 · T2 day 3 · T3 day 7 · T4 day 14 · T5 day 21,Couture Medical,Las Vegas,NV,info@couturemedical.com,(702) 608-9505,https://couturemedical.com/,4.8,1134,18,Core (best fit),closed Sat + Sun,Receptionist / voice agent,,clinical questions,"A dermatology and plastic surgery practice probably shouldn't put an AI on the phone. Speculating about a lesion or a post-op reaction isn't worth any amount of booking convenience. So this one's built to refuse. It handles scheduling, pricing and FAQs — and the moment a caller mentions a medication, contraindication, pregnancy or a reaction, it stops: that's a question for the provider, callback within two hours, tracked and escalated if it slips. It books as pending, too. Mishearing ""the fourteenth"" as ""the fortieth"" shouldn't put a surgical consult on Dr. Spann's calendar. Worth a look?",96,p1_emails.md,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
5,1 Qualified,SEND,coverage,1,"2026-09-08 (Tue, 9–11am local)",T1 day 0 · T2 day 3 · T3 day 7 · T4 day 14 · T5 day 21,Suddenly Slimmer Med Spa,Phoenix,AZ,info@suddenlyslimmer.com,(602) 952-8446,https://www.suddenlyslimmer.com/,4.7,1083,19,Core (best fit),closed Sunday,Receptionist + no-show prevention,,dormant list,"Operating since 1988 out of 12,000 square feet — that's the largest dormant patient list of any med spa in Phoenix, and it's most likely just sitting there. A daily job finds anyone with no visit in 45-plus days and nothing booked, texts a booking link, follows with a credit offer three days later, then leaves them alone for 30 days. Your ratings also split by platform. 4.7 here, rougher on TripAdvisor, and the critical ones look unanswered. Worth exploring?",80,p1_emails.md,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
6,1 Qualified,SEND,coverage,1,"2026-09-08 (Tue, 9–11am local)",T1 day 0 · T2 day 3 · T3 day 7 · T4 day 14 · T5 day 21,The Palm Medspa + Wellness,Orlando,FL,info@thepalmmedspa.com,(407) 347-4770,https://thepalmmedspa.com/,5.0,1062,2,Micro / owner-operated,closed Sat + Sun,Receptionist / voice agent,2 employees - owner-operated,weekend calls,"A 5.0 across 1,062 reviews, and the calendar shows both Saturday and Sunday dark. In Orlando that's two days a week of calls going to voicemail and booking somewhere else by Monday. An agent covering those hours quotes your real prices and books as pending, so your team still confirms every slot. Pairs with a sequence for treatment series that stall partway — Morpheus8 at one of three being the usual culprit. One thing upfront: you're on Vagaro, and I integrate with Acuity and Square, not Vagaro yet. Better said now than on a demo. Worth exploring?",97,p1_emails.md,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
7,1 Qualified,SEND,reviews,1,"2026-09-08 (Tue, 9–11am local)",T1 day 0 · T2 day 3 · T3 day 7 · T4 day 14 · T5 day 21,Kumi Laser Hair Removal & MedSpa Katy,Katy,TX,info@kumimedspa.com,(281) 206-7570,http://kumimedspa.com/,4.6,1000,4,Micro / owner-operated,closed Sunday,Receptionist + no-show prevention,4 employees - very small,bbb response,"Your BBB profile sits at C+ — not for the complaint, but for not answering it. One unanswered item outweighing a thousand reviews at 4.6. That's a system problem, not a staffing one. Review requests fire on treatment completion, and replies come back drafted for your manager to approve before anything posts publicly. Your free test spot offer is the other thing worth a look. Free consults no-show harder than anything else in aesthetics, and Sunday callers currently get voicemail. Worth a look?",83,p1_emails.md,after hours,"The other half of a rating problem is the calls nobody answered. People don't leave a review for the practice they couldn't reach — they just book elsewhere, and your rating stays where it is while your calendar quietly thins. An agent that answers after hours, quotes real prices and books as pending covers that side.",how replies work,"On the review side specifically: nothing posts publicly on its own. Requests fire on a real treatment-completed event rather than a schedule, so nobody gets asked before they've been treated. Replies come back drafted, a human approves, and only then does anything go up. Public auto-posting is off by default and I'd leave it off.",the arithmetic,"At a few hundred reviews the average moves slowly, which is why the fix is volume of new ones rather than arguing with old ones. Asking every treated patient at the right moment is worth more than any single reply you write. The moment is the thing — a request sent two days later converts a fraction as well.",closing the loop,"Last note from me. Reply with a number if that's easier: 1 — worth a conversation. 2 — not now, three months. 3 — not interested. Silence works too, I'll read it as a 3. Good luck either way — the rating is fixable, with or without me."
8,1 Qualified,SEND,membership,1,"2026-09-08 (Tue, 9–11am local)",T1 day 0 · T2 day 3 · T3 day 7 · T4 day 14 · T5 day 21,Nob Hill Aesthetics | Medical Spa,San Francisco,CA,office@nobhillaesthetics.com,(415) 440-6800,https://nobhillaesthetics.com/,4.9,923,,Unknown,closed Sat + Sun,Receptionist / voice agent,no Apollo match,membership churn,"Fixed monthly payments make Nob Hill a subscription business, so churn and no-shows matter more than acquisition — and your reviews already say you're booked out. Which is the problem. On a full calendar a no-show isn't a gap in the day, it's revenue a waitlisted member would have paid for. Reminders at 24 and 2 hours that can't double-send, no-show recovery with a rebooking link then a credit, dormant flags at 45 days. Consent-aware, STOP handled. Worth a look?",80,p2_emails.md,dormant members,The churn signal usually shows up before the cancellation: a member who stops booking. A daily job flags anyone past 45 days with nothing on the calendar and sends one message referencing what they actually had done. Catching it at day 45 rather than at the cancellation email is most of the retention work.,how it books,"Bookings land as pending, never confirmed — your team keeps the calendar. Clinical questions get no automated answer at all; they route to a provider callback on a tracked two-hour clock. Patient data is encrypted per-field and de-identified before any of it reaches a model.",the no-show half,"Members no-show more than one-off patients do, because they've already paid and the appointment feels free. Reminders at 24 and 2 hours, idempotent so nobody gets doubled up, are the cheapest fix available for that specific behaviour.",closing the loop,"Last note. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, three months. 3 — not interested. Silence is fine, I'll stop either way."
9,1 Qualified,SEND,qualification,1,"2026-09-08 (Tue, 9–11am local)",T1 day 0 · T2 day 3 · T3 day 7 · T4 day 14 · T5 day 21,Aventura Dermatology,Aventura,FL,info@aventuradermatology.com,(754) 544-9030,https://aventuradermatology.com/,4.9,893,3,Micro / owner-operated,closed Sat + Sun,Receptionist / voice agent,3 employees; revenue figure looks unreliable,three people,"893 reviews at 4.9 against a three-person practice. Dr. Baum's team is carrying a patient load that would staff a clinic four times the size, and both weekend days are dark. At three people the answer isn't more software, it's the one piece that removes the most interruption: an agent that answers the phone, books as pending, and refuses every clinical question outright — those route to a provider callback on a two-hour clock. Just that. Not a platform. Worth exploring?",81,p2_emails.md,after hours,"The other side of triage is the hours nobody's there. Qualification only helps if someone's awake to receive the answer, so the agent answers around the clock, quotes your real prices instead of ""call us,"" and books qualified leads as pending for your team to confirm.",what the gates are,"Worth being precise about the screening, since this is the part that has to be right: six questions produce a 0–100 score and a hot/warm/cold routing. Two things sit *outside* the arithmetic entirely — pregnant or breastfeeding disqualifies to a medical callback no matter how good every other answer is, and blood thinners flag for provider approval without penalising the lead. Those are gates, not scores.",the quiet leak,"Meanwhile the patients you already treated go quiet. A daily job catches anyone dormant past 45 days with nothing booked and sends one message referencing their actual treatment history. Cheaper than any lead you'll buy this quarter, and it needs no triage at all.",closing the loop,"This is my last one. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, stop. No answer is an answer too; I won't write again."
10,1 Qualified,SEND,coverage,1,"2026-09-08 (Tue, 9–11am local)",T1 day 0 · T2 day 3 · T3 day 7 · T4 day 14 · T5 day 21,Modern SLC by Manor,Salt Lake City,UT,info@modernslc.com,(801) 516-8884,https://modernslc.com/?utm_source=gbp-brand&utm_medium=organic&utm_campaign=local+search&utm_content=website+click,5.0,867,3,Micro / owner-operated,closed Sat + Sun,Receptionist / voice agent,city is Holladay not SLC,weekend calls,"867 reviews at a perfect 5.0, three people, weekends closed. The rating says everyone who gets through books; the staffing says most people don't get through. One thing, not a suite: an agent that covers the hours you can't, quotes real prices, and books as pending so you still confirm. Worth a look?",53,p2_emails.md,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
